SYMBOL,logFC,adj.P.Val,,,,,,,,Gene,,CTNNB1 （22 %）TP53 （29 %）LRP1B （28 %）PREX2 （22 %）ERBB4 （20 %）PTPRT （20 %）ZFHX3 （19 %）KMT2C （19 %）ALK （17 %）NTRK3 （17 %）锌f521 （18 %）CAMTA1 （18 %）FHIT （18 %）MAML2 （15 %）狐狸1 （15 %）GPHN （15 %）干旱2 （12 %）SND1 （15 %）LPP （15 %）GRIN2A （14 %）有突变的样本所有样品前20个基因规模（样本）基因
ILK,0.194180643,0.135787359,,,,,,,,,,
NNT,0.885340473,3.94E-08,,,,,,,,,,
SNTB2,-0.228813902,0.360935771,,,,,,,,,,
XRCC4,0.572893514,0.051015014,,,,,,,,,,
PPIG,-0.356971105,0.198131336,,,,,,,,,,
TCOF1,-2.395605173,9.61E-22,,,,,,,,,,
SF3B2,-1.785320267,4.76E-29,,,,,,,,,,
OS9,-1.416265912,1.27E-12,,,,,,,,,,
GOLGA4,-1.656354819,1.46E-13,,,,,,,,,,
PDAP1,-1.474984845,8.28E-19,,,,,,,,,,
TMED1,0.019741362,0.908150924,,,,,,,,,,
FKBP5,-1.19367549,1.69E-14,,,,,,,,,,
MYO9B,0.501121439,0.210026072,,,,,,,,,,
ROCK1,-0.89582744,7.34E-10,,,,,,,,,,
SMAD4,-0.660507173,0.016355849,,,,,,,,,,
TCIRG1,-0.613406749,0.0378929,,,,,,,,,,
PICALM,-0.443897757,4.38E-05,,,,,,,,,,
MTM1,-0.615841584,2.40E-05,,,,,,,,,,
SQSTM1,-2.883926046,7.01E-25,,,,,,,,,,
MTX1,-0.379197818,0.007013243,,,,,,,,,,
TUBB3,-1.023459285,8.30E-05,,,,,,,,,,
ASAH1,-0.597787432,3.26E-05,,,,,,,,,,
PRPF4B,-0.785340473,0.004596721,,,,,,,,,,
PIN1,-0.821398262,8.97E-06,,,,,,,,,,
EIF4EBP1,-0.553566377,4.89E-05,,,,,,,,,,
EIF4EBP2,-0.232016569,0.212208022,,,,,,,,,,
RIPK1,-1.396585169,2.31E-09,,,,,,,,,,
HDAC1,-2.063942211,3.98E-26,,,,,,,,,,
CAMK2B,-0.194362497,0.500347893,,,,,,,,,,
CAMK2G,-0.942028693,8.62E-07,,,,,,,,,,
CAMK2D,-0.134976763,0.331272354,,,,,,,,,,
DCTN2,-0.414720145,0.000181318,,,,,,,,,,
NAE1,-1.429157406,5.22E-13,,,,,,,,,,
ITPK1,-0.795009093,0.000686368,,,,,,,,,,
SNW1,-1.826510406,3.61E-14,,,,,,,,,,
DGKZ,0.133946252,0.819519125,,,,,,,,,,
IQGAP2,0.557253991,1.59E-05,,,,,,,,,,
STIM1,-0.265083855,0.053235031,,,,,,,,,,
TRA2A,-0.893917963,1.55E-07,,,,,,,,,,
SNX1,-0.755485957,2.57E-11,,,,,,,,,,
PEX6,-1.498929077,7.64E-10,,,,,,,,,,
PWP1,-1.150454637,4.67E-08,,,,,,,,,,
MTMR1,-0.352596484,0.251833814,,,,,,,,,,
CUL1,-0.967205496,6.76E-17,,,,,,,,,,
CUL2,-1.075015155,5.71E-14,,,,,,,,,,
CUL3,-0.535380885,2.68E-05,,,,,,,,,,
CUL4A,-0.629915134,7.32E-06,,,,,,,,,,
CUL4B,-1.518367347,1.51E-26,,,,,,,,,,
TP53BP2,1.537502526,5.86E-06,,,,,,,,,,
TSTA3,-0.429985856,0.00104748,,,,,,,,,,
RAB32,-0.424348353,0.018075886,,,,,,,,,,
FHL1,0.883653263,0.00074169,,,,,,,,,,
AAMP,-0.907355021,4.65E-06,,,,,,,,,,
MOGS,0.061941806,0.615103635,,,,,,,,,,
ALCAM,-0.887795514,4.17E-09,,,,,,,,,,
THOC5,-0.381127501,0.240549917,,,,,,,,,,
ARFRP1,-0.321923621,0.118837844,,,,,,,,,,
ITGA9,-0.661759952,0.00731494,,,,,,,,,,
SPTAN1,-0.429420085,1.41E-05,,,,,,,,,,
AUH,0.3751667,0.010757024,,,,,,,,,,
DDX39B,-1.024994948,8.83E-21,,,,,,,,,,
BLMH,-0.325722368,0.1426207,,,,,,,,,,
EXOSC2,-1.525075773,7.01E-12,,,,,,,,,,
SNTB1,-0.38735098,0.01085675,,,,,,,,,,
TUBB2A,-1.159547383,2.27E-07,,,,,,,,,,
GTF2H2,0.602293393,0.096657423,,,,,,,,,,
BYSL,0.769508992,0.031389762,,,,,,,,,,
RAPGEF1,0.732289351,0.09314082,,,,,,,,,,
IDI1,-1.001010305,7.62E-09,,,,,,,,,,
CUX1,-0.874520105,0.001243297,,,,,,,,,,
CBFB,-0.526227521,0.021983372,,,,,,,,,,
PRKG1,-0.638634067,0.017703562,,,,,,,,,,
CDK13,0.540684987,0.111743811,,,,,,,,,,
IL16,1.089452415,0.001895398,,,,,,,,,,
CKAP5,-2.247342898,6.89E-31,,,,,,,,,,
CIRBP,-1.648423924,6.72E-19,,,,,,,,,,
CAMK1,-0.486401293,0.008777184,,,,,,,,,,
COTL1,0.332137806,0.14190817,,,,,,,,,,
BAAT,1.533340069,3.96E-07,,,,,,,,,,
COX17,-0.180137401,0.385488163,,,,,,,,,,
HNRNPD,-0.934057385,9.23E-14,,,,,,,,,,
SCARB2,0.241038594,0.067259304,,,,,,,,,,
NID2,-0.722246919,0.023636055,,,,,,,,,,
IL18,-1.149191756,1.99E-06,,,,,,,,,,
DPYS,1.532824813,2.57E-15,,,,,,,,,,
DAG1,-0.573843201,1.36E-06,,,,,,,,,,
DSG2,-0.874014953,0.000454838,,,,,,,,,,
BOP1,0.618953324,0.056463623,,,,,,,,,,
UBE4A,-1.063224894,2.56E-10,,,,,,,,,,
43349,-1.011527581,1.27E-11,,,,,,,,,,
TRIM14,-0.482248939,0.195791455,,,,,,,,,,
SAFB2,0.006375025,0.986455312,,,,,,,,,,
EIF3A,-1.007102445,7.73E-20,,,,,,,,,,
ARHGEF7,-1.284805011,3.92E-09,,,,,,,,,,
EFR3A,-0.333168317,0.23420367,,,,,,,,,,
UBAP2L,-2.534249343,1.56E-28,,,,,,,,,,
SCRIB,-1.346231562,1.80E-16,,,,,,,,,,
GIT2,-1.190836533,1.63E-10,,,,,,,,,,
MLEC,0.081693271,0.502274096,,,,,,,,,,
TTLL12,-0.458617903,0.000607606,,,,,,,,,,
DOCK1,-0.888755304,0.012820154,,,,,,,,,,
FHL2,-1.300707214,7.14E-05,,,,,,,,,,
DPYSL3,-0.702404526,0.04008413,,,,,,,,,,
DCTN1,-0.476096181,0.000206371,,,,,,,,,,
DYNC1H1,-1.092210548,1.18E-21,,,,,,,,,,
EIF2B1,-1.249464538,4.72E-17,,,,,,,,,,
EIF4A2,-0.820721358,2.72E-11,,,,,,,,,,
TCEB3,-0.107193372,0.782609606,,,,,,,,,,
MAP7,0.177874318,0.514758932,,,,,,,,,,
CTTN,-0.996989291,7.31E-10,,,,,,,,,,
ENDOG,-0.329147302,0.277646343,,,,,,,,,,
FLOT2,-0.529541321,0.000692045,,,,,,,,,,
RCN2,-1.739553445,3.47E-24,,,,,,,,,,
TRIM25,-0.632410588,1.43E-07,,,,,,,,,,
PTK2B,0.11145686,0.682754059,,,,,,,,,,
FGL2,-1.337997575,1.41E-05,,,,,,,,,,
FKBP8,-1.144261467,6.91E-10,,,,,,,,,,
FAM50A,-0.126742776,0.661081034,,,,,,,,,,
GNA13,-0.880208123,2.21E-10,,,,,,,,,,
GAMT,1.087512629,2.28E-09,,,,,,,,,,
GALE,0.408759345,0.001006963,,,,,,,,,,
GCKR,0.485350576,0.142776196,,,,,,,,,,
CAPRIN1,-1.483562336,2.45E-20,,,,,,,,,,
GRB14,0.351869064,0.094499314,,,,,,,,,,
BECN1,0.34152354,0.248801842,,,,,,,,,,
RBM39,-1.774772681,3.51E-23,,,,,,,,,,
HABP2,-1.258335017,2.00E-08,,,,,,,,,,
SQLE,-1.180642554,2.15E-07,,,,,,,,,,
PDIA5,0.486310366,0.000279872,,,,,,,,,,
PRPSAP1,0.117730855,0.379347093,,,,,,,,,,
MCM6,-1.366659931,0.000130159,,,,,,,,,,
ITPR2,0.229662558,0.175242838,,,,,,,,,,
ITPR3,0.236845827,0.628676648,,,,,,,,,,
ITIH4,-0.396484138,0.002103168,,,,,,,,,,
PLS1,-1.047817741,5.56E-10,,,,,,,,,,
IRF3,-1.576934734,9.31E-18,,,,,,,,,,
LAGE3,-0.902323702,1.22E-08,,,,,,,,,,
KIAA0100,1.128682562,0.011412846,,,,,,,,,,
TRIP12,-0.961982219,0.004517382,,,,,,,,,,
PUM1,1.121105274,0.001346528,,,,,,,,,,
CLINT1,-1.014790867,6.42E-18,,,,,,,,,,
KANK1,0.395483936,0.39192655,,,,,,,,,,
SMC1A,-1.602323702,3.21E-12,,,,,,,,,,
RRP1B,0.679531218,0.062655638,,,,,,,,,,
DIP2A,-0.527470196,0.313580681,,,,,,,,,,
PDCD11,0.922034754,0.071857174,,,,,,,,,,
USP10,-0.968963427,3.05E-09,,,,,,,,,,
MESDC2,-0.317579309,0.005418409,,,,,,,,,,
GANAB,0.054677713,0.538407637,,,,,,,,,,
RFTN1,-0.745554658,0.001268043,,,,,,,,,,
KCNAB1,0.04056375,0.877811354,,,,,,,,,,
PPP2R5D,-1.416872095,7.14E-16,,,,,,,,,,
LBR,-1.512952112,1.02E-16,,,,,,,,,,
COG2,-2.109284704,2.08E-18,,,,,,,,,,
GNMT,3.241927662,1.47E-19,,,,,,,,,,
PTPRCAP,-1.066801374,4.31E-08,,,,,,,,,,
MVP,-1.510891089,1.18E-12,,,,,,,,,,
LTBP1,-1.542402506,0.000165466,,,,,,,,,,
GOLGB1,-1.651343706,7.36E-22,,,,,,,,,,
CASP8,-1.773257224,8.89E-14,,,,,,,,,,
NAA30,0.431935745,0.185617778,,,,,,,,,,
CHD4,-2.244372601,1.49E-26,,,,,,,,,,
LASP1,-0.772701556,8.60E-07,,,,,,,,,,
STARD3,-0.330268741,0.228452458,,,,,,,,,,
CRYM,1.327591433,2.37E-08,,,,,,,,,,
PTGR1,1.496969085,5.16E-16,,,,,,,,,,
DRAP1,-0.703354213,0.002341589,,,,,,,,,,
GPNMB,-0.928349161,6.83E-07,,,,,,,,,,
ZNF638,-1.621398262,2.01E-13,,,,,,,,,,
KPNB1,-0.795554658,1.57E-12,,,,,,,,,,
NOLC1,-0.823651243,0.025883029,,,,,,,,,,
NUMA1,-0.945625379,1.38E-05,,,,,,,,,,
PSME4,-1.429490806,1.96E-06,,,,,,,,,,
SLMAP,0.839088705,0.04633018,,,,,,,,,,
GAPVD1,-1.253546171,2.37E-13,,,,,,,,,,
NAA25,-0.582016569,0.098596025,,,,,,,,,,
HEPACAM,-1.615225298,3.91E-10,,,,,,,,,,
SPCS2,-0.138856335,0.201447459,,,,,,,,,,
EMC2,-0.980935543,5.95E-11,,,,,,,,,,
WTAP,-0.026732673,0.93432004,,,,,,,,,,
PSMD6,-0.633986664,1.92E-09,,,,,,,,,,
FAM175B,-0.699009901,4.31E-08,,,,,,,,,,
43345,-0.643008689,2.26E-07,,,,,,,,,,
SART3,-2.20344514,1.16E-27,,,,,,,,,,
EXOSC7,-1.196564963,1.74E-09,,,,,,,,,,
EFTUD2,-1.743483532,1.95E-28,,,,,,,,,,
LARS2,-1.240220247,1.83E-10,,,,,,,,,,
SNX17,-0.639280663,0.000917913,,,,,,,,,,
ARL6IP1,0.265508183,0.15918958,,,,,,,,,,
RAB3GAP1,-1.749686805,5.27E-23,,,,,,,,,,
SLC39A14,0.645524348,0.000286534,,,,,,,,,,
KARS,-0.220802182,0.061790145,,,,,,,,,,
SETDB1,0.582370176,0.223732316,,,,,,,,,,
RRS1,-0.04738331,0.879832282,,,,,,,,,,
ARHGEF6,-0.889816124,6.04E-05,,,,,,,,,,
EIF4H,-1.015427359,1.08E-06,,,,,,,,,,
ACAP2,-0.961860982,4.81E-07,,,,,,,,,,
BRD3,0.258385532,0.594360377,,,,,,,,,,
POSTN,-2.702919782,8.61E-14,,,,,,,,,,
ACOX1,0.654273591,8.90E-06,,,,,,,,,,
OXA1L,-1.386593251,1.42E-06,,,,,,,,,,
EEA1,-0.766265912,1.39E-09,,,,,,,,,,
NCF4,-0.339624166,0.273975248,,,,,,,,,,
PDIA6,-0.335987068,0.000367973,,,,,,,,,,
PAFAH1B3,-1.805667812,7.32E-15,,,,,,,,,,
PCOLCE,-1.041260861,0.000929173,,,,,,,,,,
PDK1,-0.229753486,0.48636499,,,,,,,,,,
PDK2,-0.219852495,0.300635481,,,,,,,,,,
PDK3,-0.863730046,0.013918751,,,,,,,,,,
PEA15,-1.700505153,7.58E-18,,,,,,,,,,
PGM5,0.28354213,0.315950463,,,,,,,,,,
EBP,0.372984441,0.006033508,,,,,,,,,,
PMVK,-1.145817337,1.88E-10,,,,,,,,,,
PLEC,-1.080885027,2.04E-06,,,,,,,,,,
PCM1,-0.66466963,0.099454282,,,,,,,,,,
PON2,-0.558486563,7.98E-05,,,,,,,,,,
PON3,2.021731663,1.70E-17,,,,,,,,,,
PPP2R5A,-1.69129117,6.81E-20,,,,,,,,,,
PPA1,-0.887179228,1.59E-12,,,,,,,,,,
PTGES3,-0.894251364,9.82E-17,,,,,,,,,,
STK38,-1.147645989,2.18E-08,,,,,,,,,,
NONO,-2.167710649,4.82E-32,,,,,,,,,,
PPP2R4,-0.397949081,0.000454243,,,,,,,,,,
PTPRK,-1.134410992,1.86E-05,,,,,,,,,,
QPRT,1.095635482,1.41E-08,,,,,,,,,,
RABEP1,0.05049505,0.868547312,,,,,,,,,,
RASA2,0.49595878,0.191768093,,,,,,,,,,
RAB35,-1.255051526,8.84E-17,,,,,,,,,,
RNPS1,-1.182319661,1.67E-09,,,,,,,,,,
RBBP5,-1.582905638,6.33E-11,,,,,,,,,,
RCN1,0.123428976,0.420677012,,,,,,,,,,
RALBP1,-0.243241059,0.460901161,,,,,,,,,,
LRRC41,-1.365558699,0.001092694,,,,,,,,,,
TMED2,-0.414265508,0.005362357,,,,,,,,,,
PCBP1,-0.709092746,5.53E-09,,,,,,,,,,
PCBP2,-0.981945848,5.14E-17,,,,,,,,,,
TCEB1,-0.606273995,6.81E-05,,,,,,,,,,
TCEB2,-1.175095979,5.15E-16,,,,,,,,,,
RHEB,-1.883259244,3.50E-27,,,,,,,,,,
UBE3C,-0.97817741,0.000519771,,,,,,,,,,
DHCR24,-0.3278137,0.089596516,,,,,,,,,,
SF3B3,-1.62244898,1.89E-28,,,,,,,,,,
RSU1,-0.171105274,0.317659531,,,,,,,,,,
CNN3,-1.45202061,6.68E-13,,,,,,,,,,
RPS6KA1,-0.371216407,0.234272522,,,,,,,,,,
SAFB,-1.122479289,5.22E-11,,,,,,,,,,
SF3B4,-1.710507173,1.46E-13,,,,,,,,,,
SF3A2,-1.765174783,6.30E-21,,,,,,,,,,
PPP1R7,-0.378662356,7.52E-05,,,,,,,,,,
SEC23A,-0.048797737,0.628879699,,,,,,,,,,
SEC23B,-1.998070317,3.01E-25,,,,,,,,,,
CYTH1,0.306415437,0.304234315,,,,,,,,,,
SF3A1,-1.487694484,6.74E-25,,,,,,,,,,
SKIV2L,-1.674247323,1.13E-22,,,,,,,,,,
RGN,1.966579107,4.80E-23,,,,,,,,,,
SURF1,0.001646797,0.994350484,,,,,,,,,,
MAPRE2,-0.878258234,1.53E-05,,,,,,,,,,
TGFBI,-0.659658517,0.001498907,,,,,,,,,,
SLC9A3R2,1.069892908,2.15E-06,,,,,,,,,,
TRADD,-0.664326126,0.00130199,,,,,,,,,,
TRAM1,-0.653030915,1.94E-06,,,,,,,,,,
TSN,-1.170256617,1.68E-21,,,,,,,,,,
SF1,-1.103899778,1.79E-14,,,,,,,,,,
TRIP10,-0.738290564,0.01127512,,,,,,,,,,
TRIP11,-1.785310164,2.67E-10,,,,,,,,,,
TRIP4,-1.305677915,1.21E-06,,,,,,,,,,
NFKBIB,-0.192180238,0.549177744,,,,,,,,,,
TRIP6,-0.804617094,7.34E-05,,,,,,,,,,
MAPRE1,-1.5913922,2.35E-20,,,,,,,,,,
ELAVL1,-1.462750051,2.13E-20,,,,,,,,,,
NSDHL,-0.029450394,0.857534369,,,,,,,,,,
MYLK,0.415336432,0.023925173,,,,,,,,,,
TAB1,-1.046797333,2.29E-07,,,,,,,,,,
HERC1,1.468215801,0.002038847,,,,,,,,,,
TOMM34,-1.369862599,1.46E-06,,,,,,,,,,
SMAD2,-1.345989089,1.94E-07,,,,,,,,,,
MSMO1,0.883218832,1.71E-07,,,,,,,,,,
ITSN1,-0.059416044,0.781131235,,,,,,,,,,
TBCE,-2.735441503,1.84E-24,,,,,,,,,,
TBCC,-0.079157406,0.818417874,,,,,,,,,,
STXBP2,-0.78963427,3.23E-05,,,,,,,,,,
VAMP3,-0.424813094,0.001923844,,,,,,,,,,
NEDD8,-0.833117802,9.39E-05,,,,,,,,,,
ADIRF,0.920266721,0.000560712,,,,,,,,,,
ADIPOQ,-1.205112144,1.13E-07,,,,,,,,,,
ATP6AP1,0.201717519,0.514758932,,,,,,,,,,
RAB11B,-0.668296626,8.42E-10,,,,,,,,,,
ZYX,-1.45404122,3.68E-13,,,,,,,,,,
ETFDH,1.684946454,2.81E-22,,,,,,,,,,
43350,-0.782147909,5.90E-12,,,,,,,,,,
ADRM1,-0.72695494,6.80E-11,,,,,,,,,,
CCDC6,-1.817801576,2.29E-16,,,,,,,,,,
UAP1,0.492281269,0.003095223,,,,,,,,,,
IGFBP7,-1.466134573,6.22E-08,,,,,,,,,,
LAMA4,-0.295069711,0.490538831,,,,,,,,,,
PSMD5,-0.18496666,0.168382066,,,,,,,,,,
PKN1,-0.258122853,0.488017141,,,,,,,,,,
PKN2,-1.317336836,6.71E-09,,,,,,,,,,
CSRP2,-1.174580723,1.34E-05,,,,,,,,,,
DDB1,-0.407506567,3.69E-06,,,,,,,,,,
PPP2R5E,-1.22933926,1.13E-09,,,,,,,,,,
MAPK14,-1.619013942,1.69E-15,,,,,,,,,,
MRPL23,-0.39652455,0.031267017,,,,,,,,,,
CDC37,-1.077955142,1.54E-18,,,,,,,,,,
DPYSL2,-0.461830673,0.002192766,,,,,,,,,,
SYPL1,-1.569135179,7.83E-25,,,,,,,,,,
RBBP7,-2.046463932,1.21E-27,,,,,,,,,,
FXN,0.86374015,3.15E-05,,,,,,,,,,
CALCRL,-0.425995151,0.055987485,,,,,,,,,,
ECM1,-0.789017983,0.00403449,,,,,,,,,,
OCLN,-1.456597292,2.60E-13,,,,,,,,,,
SRSF7,-1.150212164,5.21E-17,,,,,,,,,,
CPSF6,-2.003495656,7.16E-22,,,,,,,,,,
SMN1,-0.719003839,0.001570447,,,,,,,,,,
DBN1,-1.532360073,9.65E-06,,,,,,,,,,
MAPKAPK3,0.162426753,0.599885315,,,,,,,,,,
PTGIS,-1.705031319,1.44E-10,,,,,,,,,,
PDK4,0.052354011,0.85350602,,,,,,,,,,
FSCN1,-0.070024247,0.65301587,,,,,,,,,,
IFI16,-0.630682966,0.007416589,,,,,,,,,,
CYP2A13,-0.500484946,0.002646656,,,,,,,,,,
DECR1,0.696756921,1.20E-08,,,,,,,,,,
MAN2A1,-1.526146696,2.19E-24,,,,,,,,,,
NDUFA5,0.335098,0.041938928,,,,,,,,,,
KYNU,1.786330572,4.46E-16,,,,,,,,,,
CLPP,-0.639300869,5.79E-05,,,,,,,,,,
TST,0.447514649,0.000715589,,,,,,,,,,
CCBL1,0.351929683,0.083246113,,,,,,,,,,
GUK1,-0.779844413,0.000197476,,,,,,,,,,
HAGH,1.186744797,6.57E-14,,,,,,,,,,
HIST2H2AC;HIST2H2AA3,-0.392594464,0.134991973,,,,,,,,,,
HIST2H2BE;HIST1H2BB;HIST1H2BO;HIST1H2BJ,-0.173095575,0.502060824,,,,,,,,,,
NDUFA9,1.072923823,9.85E-14,,,,,,,,,,
RTN1,-0.383148111,0.183046804,,,,,,,,,,
PCK2,1.644695898,2.51E-18,,,,,,,,,,
HADH,1.389391796,3.45E-18,,,,,,,,,,
CYP51A1,-0.510042433,0.015308932,,,,,,,,,,
UGP2,1.602596484,9.56E-24,,,,,,,,,,
AOC3,2.36645787,2.85E-23,,,,,,,,,,
DGUOK,-0.209213983,0.117221766,,,,,,,,,,
ATP6V1F,-0.284330168,0.190363944,,,,,,,,,,
CDO1,-0.512507577,0.007149248,,,,,,,,,,
TXNRD1,-0.974510002,7.59E-10,,,,,,,,,,
TPD52L1,0.597595474,0.008237782,,,,,,,,,,
IMMT,-0.03175389,0.829901441,,,,,,,,,,
EXOC3L4,0.84738331,0.000659813,,,,,,,,,,
FAM98C,-0.955051526,2.09E-05,,,,,,,,,,
HNRNPUL2,-1.181066882,4.59E-16,,,,,,,,,,
INF2,-0.246746818,0.152974513,,,,,,,,,,
PDS5A,-2.584875732,3.31E-23,,,,,,,,,,
AAK1,-2.392998586,9.24E-23,,,,,,,,,,
KIAA1033,-1.483663366,3.41E-24,,,,,,,,,,
SHROOM1,-0.680349566,0.024851063,,,,,,,,,,
TSR1,0.253364316,0.449528941,,,,,,,,,,
RALGAPA2,-1.46539705,5.96E-08,,,,,,,,,,
DPY19L1,-0.460224288,0.059254256,,,,,,,,,,
IAH1,-0.485502122,0.000270324,,,,,,,,,,
ALG11,0.126177005,0.538544487,,,,,,,,,,
QRICH1,-1.365457668,7.48E-08,,,,,,,,,,
SMU1,-1.429632249,2.15E-14,,,,,,,,,,
ATG2A,-0.828025864,0.081613812,,,,,,,,,,
HKDC1,-2.000687007,8.41E-09,,,,,,,,,,
HLA-DRB5,-0.702374217,0.002762068,,,,,,,,,,
HFE,-0.646241665,0.036754376,,,,,,,,,,
LRRFIP1,-0.691301273,1.11E-08,,,,,,,,,,
LEPRE1,-2.048797737,4.08E-26,,,,,,,,,,
EML3,-0.908213781,1.75E-07,,,,,,,,,,
NDUFAF6,-0.245615276,0.400542747,,,,,,,,,,
DAK,2.287522732,1.51E-24,,,,,,,,,,
LSM12,-0.640048495,0.003460897,,,,,,,,,,
PUS10,-0.067841988,0.874504588,,,,,,,,,,
ADCK5,-0.464184684,0.182596887,,,,,,,,,,
HSDL1,-0.514528188,0.066368528,,,,,,,,,,
CCDC88A,1.123176399,0.003365911,,,,,,,,,,
TMEM176B,-1.39450394,8.92E-14,,,,,,,,,,
RABL6,0.248666397,0.493178697,,,,,,,,,,
TUBB8,-0.580975955,0.00242751,,,,,,,,,,
TIMM50,-1.325237422,1.20E-20,,,,,,,,,,
LGALSL,-0.59533239,0.003972168,,,,,,,,,,
PARP14,-1.023721964,1.49E-05,,,,,,,,,,
GLYR1,-0.569296828,0.008067007,,,,,,,,,,
VPS26B,-0.648777531,2.30E-06,,,,,,,,,,
LARP7,-1.456617498,3.00E-10,,,,,,,,,,
NADK2,1.246827642,4.01E-15,,,,,,,,,,
KCTD21,0.079389776,0.697471254,,,,,,,,,,
GXYLT1,-0.30705193,0.272215709,,,,,,,,,,
ACSF3,1.187613659,2.59E-08,,,,,,,,,,
PREPL,1.048555264,0.002129729,,,,,,,,,,
TBC1D10B,-0.429137199,0.192996478,,,,,,,,,,
ANO6,-1.655576884,7.72E-18,,,,,,,,,,
IQCC,0.316973126,0.06200601,,,,,,,,,,
GRIPAP1,-1.541190139,6.26E-18,,,,,,,,,,
CCDC58,-0.20523338,0.153590124,,,,,,,,,,
PAN2,-0.312952112,0.503519016,,,,,,,,,,
FAM98B,-1.522984441,8.30E-20,,,,,,,,,,
PDCD4,-1.026278036,6.08E-07,,,,,,,,,,
FNDC3B,-2.039694888,1.52E-16,,,,,,,,,,
TP53I3,-2.57470196,3.16E-22,,,,,,,,,,
C11orf73,-0.859698929,1.01E-07,,,,,,,,,,
ORMDL2,-0.468963427,0.004223826,,,,,,,,,,
ACSM3,3.747100424,6.41E-33,,,,,,,,,,
PDLIM3,-1.419145282,2.77E-06,,,,,,,,,,
PARP10,-1.159961608,2.22E-05,,,,,,,,,,
HSD17B12,0.327288341,0.026160847,,,,,,,,,,
USP39,-2.669519095,3.41E-24,,,,,,,,,,
AGK,-0.710648616,1.81E-05,,,,,,,,,,
LACTB2,-0.245978986,0.060128032,,,,,,,,,,
PYCRL,-0.81993332,1.83E-05,,,,,,,,,,
TSSC1,-1.260739543,5.48E-12,,,,,,,,,,
SOWAHC,0.063184482,0.759382163,,,,,,,,,,
BOLA3,0.110355627,0.708003498,,,,,,,,,,
COBLL1,1.126177005,2.24E-08,,,,,,,,,,
HS1BP3,-1.129480703,1.37E-10,,,,,,,,,,
WDR81,-1.286603354,4.62E-10,,,,,,,,,,
ACTBL2,-0.844241261,0.022689405,,,,,,,,,,
CCDC93,-0.434461507,0.002364211,,,,,,,,,,
OCIAD2,1.630511214,5.57E-13,,,,,,,,,,
SFT2D3,-0.332531825,0.101417646,,,,,,,,,,
HSP90AB4P,-0.937724793,0.002398247,,,,,,,,,,
HSP90AB2P,-1.115407153,1.76E-06,,,,,,,,,,
HSP90AA4P,-0.391169933,0.038946019,,,,,,,,,,
TMEM41B,-1.346373005,6.84E-15,,,,,,,,,,
TMEM97,-0.214154375,0.267375264,,,,,,,,,,
YIF1B,-0.074358456,0.736257991,,,,,,,,,,
OXLD1,-1.479450394,4.40E-08,,,,,,,,,,
ZNF326,-0.439997979,0.118912331,,,,,,,,,,
FLG2,-0.636431602,0.250467211,,,,,,,,,,
PDZD11,-0.538664377,0.005945997,,,,,,,,,,
CMPK2,-0.768023843,0.005272239,,,,,,,,,,
DNAJC21,-0.192897555,0.541629984,,,,,,,,,,
HERC4,-1.370963831,2.08E-15,,,,,,,,,,
PPP6R3,-1.526823601,1.52E-14,,,,,,,,,,
RABL3,-0.3940392,0.034692352,,,,,,,,,,
COQ5,0.546009295,0.000110752,,,,,,,,,,
SH3D19,0.116003233,0.78605429,,,,,,,,,,
EMC4,-0.176591231,0.386040228,,,,,,,,,,
NOMO2;NOMO3,-0.705576884,2.89E-10,,,,,,,,,,
EARS2,0.38579511,0.082933858,,,,,,,,,,
MIA3,-0.109183673,0.371907939,,,,,,,,,,
PITRM1,-1.14688826,2.27E-13,,,,,,,,,,
NHLRC3,-0.473216811,0.035105262,,,,,,,,,,
WDR44,-0.745281875,7.24E-07,,,,,,,,,,
RRP12,-0.863032936,0.014877743,,,,,,,,,,
COA6,-0.261699333,0.215830957,,,,,,,,,,
TOR1AIP1,-1.423125884,2.11E-16,,,,,,,,,,
AARS2,-1.792927864,2.82E-18,,,,,,,,,,
TOR2A,-0.469892908,0.051503658,,,,,,,,,,
PCID2,-0.768478481,0.001783658,,,,,,,,,,
GNAS,-0.202919782,0.191949177,,,,,,,,,,
SLC27A3,-0.986825621,3.38E-05,,,,,,,,,,
SMEK2,-0.992786421,3.89E-05,,,,,,,,,,
WDR45B,0.07410588,0.778171604,,,,,,,,,,
WIPI1,-0.497211558,0.07250125,,,,,,,,,,
ENTPD8,-1.386815518,1.78E-08,,,,,,,,,,
EOGT,0.872580319,0.014820714,,,,,,,,,,
TBCEL,-0.211578097,0.33419387,,,,,,,,,,
DNTTIP2,0.098171348,0.832668314,,,,,,,,,,
RABGAP1L,1.017225702,0.004633751,,,,,,,,,,
TTC38,1.235916347,1.43E-14,,,,,,,,,,
COX20,-1.022984441,1.08E-08,,,,,,,,,,
EXOSC6,-0.76814508,0.000177561,,,,,,,,,,
NUP188,-1.611881188,3.84E-08,,,,,,,,,,
PHYHD1,2.307718731,5.16E-20,,,,,,,,,,
HP1BP3,-1.137249949,2.84E-08,,,,,,,,,,
VARS2,-0.437926854,0.183906899,,,,,,,,,,
ODR4,-0.102263083,0.509554789,,,,,,,,,,
NHSL1,-1.336825621,0.001052927,,,,,,,,,,
HYI,0.668003637,0.001749144,,,,,,,,,,
TPRG1L,-0.415386947,0.087706955,,,,,,,,,,
CC2D1B,0.196312386,0.548344896,,,,,,,,,,
