node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
HDAC6,SMARCA4,9606.ENSP00000334061,9606.ENSP00000395654,0,0,0,0,0.063,0.163,0,0.364,0.458
HDAC6,PTK2,9606.ENSP00000334061,9606.ENSP00000341189,0,0,0,0,0.062,0,0,0.447,0.459
HDAC6,MTOR,9606.ENSP00000334061,9606.ENSP00000354558,0,0,0,0,0.062,0.103,0,0.411,0.461
HDAC6,TIMM50,9606.ENSP00000334061,9606.ENSP00000445806,0,0,0,0,0.063,0.457,0,0.043,0.47
HDAC6,MAPRE1,9606.ENSP00000334061,9606.ENSP00000364721,0,0,0,0,0.063,0.288,0,0.279,0.477
HDAC6,KLC1,9606.ENSP00000334061,9606.ENSP00000414982,0,0,0,0,0.062,0.063,0,0.466,0.49
HDAC6,KIF2A,9606.ENSP00000334061,9606.ENSP00000385000,0,0,0,0,0.051,0.077,0,0.467,0.493
HDAC6,UBL7,9606.ENSP00000334061,9606.ENSP00000457703,0,0,0,0,0.062,0.516,0,0,0.527
HDAC6,MFN1,9606.ENSP00000334061,9606.ENSP00000420617,0,0,0,0,0.062,0.068,0,0.506,0.531
HDAC6,IKBKAP,9606.ENSP00000334061,9606.ENSP00000363779,0,0,0,0,0.062,0,0,0.521,0.532
HDAC6,RELA,9606.ENSP00000334061,9606.ENSP00000384273,0,0,0,0,0,0.345,0,0.321,0.536
HDAC6,RBBP7,9606.ENSP00000334061,9606.ENSP00000369424,0,0,0,0,0.088,0.249,0,0.438,0.582
HDAC6,USP7,9606.ENSP00000334061,9606.ENSP00000343535,0,0,0,0,0.083,0.27,0,0.436,0.59
HDAC6,PCNT,9606.ENSP00000334061,9606.ENSP00000352572,0,0,0,0,0.062,0,0.5,0.297,0.641
HDAC6,HTT,9606.ENSP00000334061,9606.ENSP00000347184,0,0,0,0,0.068,0.182,0,0.592,0.662
HDAC6,SIN3A,9606.ENSP00000334061,9606.ENSP00000378402,0,0,0,0,0.079,0.314,0,0.524,0.673
HDAC6,KDM1A,9606.ENSP00000334061,9606.ENSP00000383042,0,0,0,0,0.062,0.428,0,0.458,0.684
HDAC6,XRCC6,9606.ENSP00000334061,9606.ENSP00000352257,0,0,0,0,0.063,0.486,0,0.428,0.7
HDAC6,HTATSF1,9606.ENSP00000334061,9606.ENSP00000442699,0,0,0,0,0.062,0.7,0,0,0.706
HDAC6,TBL1XR1,9606.ENSP00000334061,9606.ENSP00000405574,0,0,0,0,0.063,0.182,0.6,0.175,0.713
HDAC6,RBBP4,9606.ENSP00000334061,9606.ENSP00000362592,0,0,0,0,0.088,0.249,0,0.648,0.738
HDAC6,XPO1,9606.ENSP00000334061,9606.ENSP00000384863,0,0,0,0,0.067,0.304,0,0.631,0.74
HDAC6,PPP1CC,9606.ENSP00000334061,9606.ENSP00000341779,0,0,0,0,0,0.308,0,0.642,0.742
HDAC6,VPS28,9606.ENSP00000334061,9606.ENSP00000366565,0,0,0,0,0,0,0.9,0,0.9
HDAC6,NUP214,9606.ENSP00000334061,9606.ENSP00000352400,0,0,0,0,0.062,0,0.9,0,0.902
HDAC6,NUP62,9606.ENSP00000334061,9606.ENSP00000471191,0,0,0,0,0.066,0,0.9,0.087,0.907
HDAC6,NUP153,9606.ENSP00000334061,9606.ENSP00000444029,0,0,0,0,0.079,0,0.9,0.128,0.912
HDAC6,SUMO1,9606.ENSP00000334061,9606.ENSP00000376077,0,0,0,0,0.062,0.092,0.9,0.321,0.934
HDAC6,HSP90AB1,9606.ENSP00000334061,9606.ENSP00000360609,0,0,0,0,0.053,0.76,0.6,0.672,0.966
HDAC6,TUBB2A,9606.ENSP00000334061,9606.ENSP00000369703,0,0,0,0,0.052,0.691,0.9,0.126,0.97
HDAC6,SQSTM1,9606.ENSP00000334061,9606.ENSP00000374455,0,0,0,0,0,0.874,0,0.825,0.977
HDDC2,NTPCR,9606.ENSP00000381220,9606.ENSP00000355587,0,0,0,0,0,0,0,0.46,0.459
HDGFRP2,SUPT6H,9606.ENSP00000483345,9606.ENSP00000319104,0,0,0,0,0.31,0,0,0.174,0.406
HDGFRP2,PIP4K2C,9606.ENSP00000483345,9606.ENSP00000347032,0,0,0,0,0.06,0.395,0,0,0.406
HEATR1,SUPT16H,9606.ENSP00000355541,9606.ENSP00000216297,0,0,0,0,0.147,0,0,0.686,0.72
HEATR1,SKIV2L2,9606.ENSP00000355541,9606.ENSP00000230640,0,0,0,0,0.888,0.592,0.9,0.21,0.995
HEATR1,MRPS7,9606.ENSP00000355541,9606.ENSP00000245539,0,0,0,0,0.085,0.728,0,0,0.74
HEATR1,MRPL4,9606.ENSP00000355541,9606.ENSP00000253099,0,0,0,0,0.124,0.369,0,0.067,0.439
HEATR1,NAT10,9606.ENSP00000355541,9606.ENSP00000257829,0,0,0,0,0.907,0.823,0,0.79,0.996
HEATR1,RANBP6,9606.ENSP00000355541,9606.ENSP00000259569,0,0,0,0,0.651,0.09,0,0.043,0.669
HEATR1,MARS,9606.ENSP00000355541,9606.ENSP00000262027,0,0,0,0,0.552,0.057,0,0,0.56
HEATR1,NSUN2,9606.ENSP00000355541,9606.ENSP00000264670,0,0,0,0,0.662,0.056,0,0,0.667
HEATR1,NHP2,9606.ENSP00000355541,9606.ENSP00000274606,0,0,0,0,0.832,0.347,0,0.325,0.919
HEATR1,UBTF,9606.ENSP00000355541,9606.ENSP00000302640,0,0,0,0,0.086,0.057,0,0.601,0.627
HEATR1,PAIP1,9606.ENSP00000355541,9606.ENSP00000302768,0,0,0,0,0.523,0.056,0,0,0.53
HEATR1,SF3B3,9606.ENSP00000355541,9606.ENSP00000305790,0,0,0,0,0.288,0,0,0.194,0.402
HEATR1,PRKDC,9606.ENSP00000355541,9606.ENSP00000313420,0,0,0,0,0.17,0,0.54,0,0.601
HEATR1,TTC27,9606.ENSP00000355541,9606.ENSP00000313953,0,0,0,0,0.837,0,0,0,0.837
HEATR1,MRPL1,9606.ENSP00000355541,9606.ENSP00000315017,0,0,0,0,0.127,0.056,0.54,0,0.588
HEATR1,MRPS11,9606.ENSP00000355541,9606.ENSP00000317376,0,0,0,0,0.062,0.53,0,0,0.54
HEATR1,NCL,9606.ENSP00000355541,9606.ENSP00000318195,0,0,0,0,0.285,0.056,0.9,0.087,0.93
HEATR1,IMPDH2,9606.ENSP00000355541,9606.ENSP00000321584,0,0,0,0,0.524,0.056,0,0,0.531
HEATR1,PRPF31,9606.ENSP00000355541,9606.ENSP00000324122,0,0,0,0,0.477,0.538,0,0.217,0.794
HEATR1,YLPM1,9606.ENSP00000355541,9606.ENSP00000324463,0,0,0,0,0,0,0,0.634,0.635
HEATR1,HNRNPA1,9606.ENSP00000355541,9606.ENSP00000341826,0,0,0,0,0.467,0.061,0,0,0.478
HEATR1,PRRC2C,9606.ENSP00000355541,9606.ENSP00000343629,0,0,0,0,0,0,0,0.442,0.442
HEATR1,IPO4,9606.ENSP00000355541,9606.ENSP00000346453,0,0,0,0,0.88,0.112,0,0.043,0.889
HEATR1,PES1,9606.ENSP00000355541,9606.ENSP00000346725,0,0,0,0,0.878,0.057,0.54,0,0.942
HEATR1,TFB2M,9606.ENSP00000355541,9606.ENSP00000355471,0,0,0,0,0.677,0.538,0,0,0.844
HEATR1,HNRNPC,9606.ENSP00000355541,9606.ENSP00000451291,0,0,0,0,0.424,0.061,0,0,0.436
HEATR1,SRSF3,9606.ENSP00000355541,9606.ENSP00000362820,0,0,0,0,0.301,0.272,0,0,0.469
HEATR1,SKIV2L,9606.ENSP00000355541,9606.ENSP00000364543,0,0,0,0,0.361,0.224,0,0,0.482
HEATR1,POLR2A,9606.ENSP00000355541,9606.ENSP00000480158,0,0,0,0,0.481,0.075,0,0,0.499
HEATR1,IPO7,9606.ENSP00000355541,9606.ENSP00000369042,0,0,0,0,0.394,0.224,0,0,0.509
HEATR1,POLR2B,9606.ENSP00000355541,9606.ENSP00000370625,0,0,0,0,0.514,0.056,0,0.078,0.54
HEATR1,XRCC5,9606.ENSP00000355541,9606.ENSP00000375978,0,0,0,0,0.177,0,0.54,0,0.605
HEATR1,POLR1C,9606.ENSP00000355541,9606.ENSP00000361465,0,0,0,0,0.534,0.112,0,0.147,0.616
HEATR1,UBE4A,9606.ENSP00000355541,9606.ENSP00000387362,0,0,0,0,0.074,0,0,0.663,0.675
HEATR1,TRMT1,9606.ENSP00000355541,9606.ENSP00000466967,0,0,0,0,0.755,0.057,0,0,0.759
HEATR1,PWP1,9606.ENSP00000355541,9606.ENSP00000387365,0,0,0,0,0.838,0.112,0,0,0.85
HEATR1,NOP2,9606.ENSP00000355541,9606.ENSP00000371858,0,0,0,0,0.86,0.057,0,0.17,0.881
HEATR1,XRN2,9606.ENSP00000355541,9606.ENSP00000366396,0,0,0,0,0.169,0,0.9,0,0.913
HEATR1,RPS27,9606.ENSP00000355541,9606.ENSP00000357555,0,0,0,0,0.109,0.731,0.9,0.082,0.975
HEATR1,MYBBP1A,9606.ENSP00000355541,9606.ENSP00000370968,0,0,0,0,0.904,0.532,0,0.548,0.978
HEATR1,RSL1D1,9606.ENSP00000355541,9606.ENSP00000460871,0,0,0,0,0.858,0.789,0.54,0.318,0.989
HEATR1,NOP56,9606.ENSP00000355541,9606.ENSP00000370589,0,0,0,0,0.883,0.927,0.6,0.744,0.999
HEATR5A,MON2,9606.ENSP00000437968,9606.ENSP00000377250,0,0,0,0,0.648,0,0,0,0.648
HERC1,HERC2,9606.ENSP00000390158,9606.ENSP00000261609,0,0,0,0.583,0.199,0.27,0,0.311,0.462
HERC1,HSPA4,9606.ENSP00000390158,9606.ENSP00000302961,0,0,0,0,0,0.057,0,0.475,0.484
HERC1,TP53BP2,9606.ENSP00000390158,9606.ENSP00000341957,0,0,0,0,0,0,0,0.796,0.796
HERC1,SYNRG,9606.ENSP00000390158,9606.ENSP00000483453,0,0,0,0,0.082,0,0,0.452,0.475
HERC2,RPA1,9606.ENSP00000261609,9606.ENSP00000254719,0,0,0,0,0.066,0.835,0,0.048,0.84
HERC2,RANGAP1,9606.ENSP00000261609,9606.ENSP00000401470,0,0,0,0,0.123,0.182,0,0.231,0.4
HERC2,PCNT,9606.ENSP00000261609,9606.ENSP00000352572,0,0,0,0,0.165,0.332,0,0,0.418
HERC2,SSSCA1,9606.ENSP00000261609,9606.ENSP00000312318,0,0,0,0,0.057,0.422,0,0,0.431
HERC2,PHKG2,9606.ENSP00000261609,9606.ENSP00000455607,0,0,0,0,0,0.442,0,0,0.442
HERC2,PHKB,9606.ENSP00000261609,9606.ENSP00000313504,0,0,0,0,0,0.442,0,0,0.442
HERC2,PHKA2,9606.ENSP00000261609,9606.ENSP00000369274,0,0,0,0,0.048,0.442,0,0,0.446
HERC2,LMNA,9606.ENSP00000261609,9606.ENSP00000357283,0,0,0,0,0.056,0.442,0,0,0.45
HERC2,UXS1,9606.ENSP00000261609,9606.ENSP00000283148,0,0,0,0,0,0,0,0.454,0.454
HERC2,NUP153,9606.ENSP00000261609,9606.ENSP00000444029,0,0,0,0,0.074,0.365,0,0.147,0.454
HERC2,SELO,9606.ENSP00000261609,9606.ENSP00000370288,0,0,0,0,0.086,0.442,0,0,0.468
HERC2,XPO1,9606.ENSP00000261609,9606.ENSP00000384863,0,0,0,0,0.092,0.428,0,0.107,0.496
HERC2,RPA2,9606.ENSP00000261609,9606.ENSP00000363017,0,0,0,0,0.062,0.486,0,0,0.497
HERC2,TUBB3,9606.ENSP00000261609,9606.ENSP00000320295,0,0,0,0,0.056,0.506,0,0.049,0.517
HERC2,UBR4,9606.ENSP00000261609,9606.ENSP00000364403,0,0,0,0,0.105,0.281,0,0.418,0.593
HERC2,RAD50,9606.ENSP00000261609,9606.ENSP00000368100,0,0,0,0,0.062,0,0.6,0,0.608
HERC2,SRPK2,9606.ENSP00000261609,9606.ENSP00000377262,0,0,0,0,0,0,0,0.612,0.612
HERC2,MRE11A,9606.ENSP00000261609,9606.ENSP00000325863,0,0,0,0,0.069,0,0.6,0.053,0.616
HERC2,WHSC1,9606.ENSP00000261609,9606.ENSP00000372351,0,0,0,0,0.095,0.076,0.6,0.042,0.636
HERC2,XRCC6,9606.ENSP00000261609,9606.ENSP00000352257,0,0,0,0,0.061,0,0.65,0.048,0.66
HERC2,PRKDC,9606.ENSP00000261609,9606.ENSP00000313420,0,0,0,0,0.068,0,0.65,0.048,0.662
HERC2,XRCC5,9606.ENSP00000261609,9606.ENSP00000375978,0,0,0,0,0.053,0,0.65,0.064,0.663
HERC2,UIMC1,9606.ENSP00000261609,9606.ENSP00000366434,0,0,0,0,0.072,0,0.6,0.351,0.738
HERC2,HUWE1,9606.ENSP00000261609,9606.ENSP00000340648,0,0,0,0.539,0.754,0.056,0,0,0.758
HERC2,NUDCD2,9606.ENSP00000261609,9606.ENSP00000304854,0,0,0,0,0.079,0.683,0,0.325,0.785
HERC2,SUMO1,9606.ENSP00000261609,9606.ENSP00000376077,0,0,0,0,0.079,0,0.8,0.066,0.813
HERC2,UBE2I,9606.ENSP00000261609,9606.ENSP00000348056,0,0,0,0,0.053,0,0.9,0.047,0.901
HERC4,UBE2O,9606.ENSP00000378624,9606.ENSP00000323687,0,0,0,0,0.062,0.16,0,0.336,0.431
HERC4,NT5C2,9606.ENSP00000378624,9606.ENSP00000339479,0,0,0,0,0.063,0.485,0,0.163,0.561
HERC4,UBR4,9606.ENSP00000378624,9606.ENSP00000364403,0,0,0,0,0.112,0.389,0,0.076,0.455
HERC4,MX1,9606.ENSP00000378624,9606.ENSP00000381601,0,0,0,0,0.066,0.142,0,0.55,0.608
HERC4,WBP2,9606.ENSP00000378624,9606.ENSP00000467579,0,0,0,0,0.062,0.203,0,0.599,0.674
HERC4,ILF3,9606.ENSP00000378624,9606.ENSP00000404121,0,0,0,0,0.062,0,0,0.678,0.685
HEXB,MANBA,9606.ENSP00000261416,9606.ENSP00000226578,0.167,0,0.233,0,0.107,0.182,0,0.386,0.661
HEXB,MGAT1,9606.ENSP00000261416,9606.ENSP00000404718,0,0,0,0,0.081,0,0,0.393,0.418
HEXB,PDCD10,9606.ENSP00000261416,9606.ENSP00000376506,0,0,0,0,0,0.425,0,0,0.425
HEXB,MAN2A1,9606.ENSP00000261416,9606.ENSP00000261483,0,0,0,0,0.082,0.179,0,0.302,0.428
HEXB,VPS33B,9606.ENSP00000261416,9606.ENSP00000327650,0,0,0,0,0,0,0,0.433,0.433
HEXB,TATDN1,9606.ENSP00000261416,9606.ENSP00000276692,0.061,0,0,0,0,0.485,0,0,0.495
HEXB,TCOF1,9606.ENSP00000261416,9606.ENSP00000367028,0,0,0,0,0,0,0,0.535,0.535
HEXB,NEU1,9606.ENSP00000261416,9606.ENSP00000364782,0.202,0,0,0,0.065,0,0,0.461,0.563
HEXB,MGEA5,9606.ENSP00000261416,9606.ENSP00000354850,0,0,0,0,0,0,0,0.655,0.655
HEXB,NMT1,9606.ENSP00000261416,9606.ENSP00000468424,0,0,0,0,0,0,0,0.678,0.678
HGD,SDS,9606.ENSP00000283871,9606.ENSP00000257549,0,0,0,0,0.083,0,0,0.396,0.423
HGD,SERPINA10,9606.ENSP00000283871,9606.ENSP00000261994,0,0,0,0,0.486,0,0,0.071,0.502
HGD,KYNU,9606.ENSP00000283871,9606.ENSP00000264170,0.042,0,0,0,0.487,0,0,0.277,0.613
HGD,SQLE,9606.ENSP00000283871,9606.ENSP00000265896,0.175,0,0,0,0.146,0,0,0.264,0.436
HGD,PELO,9606.ENSP00000283871,9606.ENSP00000274311,0,0,0,0,0,0,0,0.423,0.422
HGD,PCCA,9606.ENSP00000283871,9606.ENSP00000365462,0,0,0,0,0.377,0,0,0.131,0.435
HGD,TMPRSS6,9606.ENSP00000283871,9606.ENSP00000371211,0,0,0,0,0.475,0,0,0,0.475
HGD,ITIH3,9606.ENSP00000283871,9606.ENSP00000415769,0,0,0,0,0.488,0,0,0.049,0.492
HGD,UROC1,9606.ENSP00000283871,9606.ENSP00000373073,0,0,0,0,0.185,0,0,0.415,0.503
HGD,UPB1,9606.ENSP00000283871,9606.ENSP00000324343,0,0,0,0,0.497,0,0,0.096,0.525
HGD,HMGCS2,9606.ENSP00000283871,9606.ENSP00000358414,0,0,0,0,0.425,0,0,0.238,0.543
HGD,XPNPEP2,9606.ENSP00000283871,9606.ENSP00000360147,0,0,0,0,0.546,0,0,0,0.546
HGD,PIPOX,9606.ENSP00000283871,9606.ENSP00000317721,0,0,0,0,0.564,0,0,0,0.564
HGD,TDO2,9606.ENSP00000283871,9606.ENSP00000444788,0.261,0,0,0,0.337,0,0,0.202,0.574
HGD,PCK1,9606.ENSP00000283871,9606.ENSP00000319814,0,0,0,0,0.485,0,0,0.273,0.61
HGD,SLC2A2,9606.ENSP00000283871,9606.ENSP00000323568,0,0,0,0,0.607,0,0,0.088,0.627
HGD,TTC36,9606.ENSP00000283871,9606.ENSP00000307640,0,0,0,0,0.637,0,0,0.049,0.64
HGD,KMO,9606.ENSP00000283871,9606.ENSP00000355517,0.175,0,0,0,0.509,0,0,0.289,0.686
HGD,TAT,9606.ENSP00000283871,9606.ENSP00000348234,0,0,0,0,0.539,0,0,0.558,0.787
HGD,PAH,9606.ENSP00000283871,9606.ENSP00000448059,0.167,0,0,0,0.829,0,0,0.594,0.937
HGD,HPD,9606.ENSP00000283871,9606.ENSP00000289004,0.219,0,0.221,0,0.826,0.244,0.9,0.851,0.998
HGH1,NAT10,9606.ENSP00000321320,9606.ENSP00000257829,0,0,0,0,0.357,0,0,0.17,0.443
HGH1,NSUN2,9606.ENSP00000321320,9606.ENSP00000264670,0,0,0,0,0.187,0.383,0,0.076,0.496
HGH1,NOP56,9606.ENSP00000321320,9606.ENSP00000370589,0,0,0,0,0.444,0,0,0,0.444
HGH1,MYBBP1A,9606.ENSP00000321320,9606.ENSP00000370968,0,0,0,0,0.466,0,0,0,0.466
HGH1,PBDC1,9606.ENSP00000321320,9606.ENSP00000362456,0,0,0,0,0,0,0,0.549,0.549
HGH1,TRMT112,9606.ENSP00000321320,9606.ENSP00000438349,0,0,0,0,0.168,0,0,0.548,0.608
HGH1,POLR1C,9606.ENSP00000321320,9606.ENSP00000361465,0,0,0,0,0.627,0,0,0,0.627
HGH1,PES1,9606.ENSP00000321320,9606.ENSP00000346725,0,0,0,0,0.664,0,0,0,0.664
HGH1,NOP2,9606.ENSP00000321320,9606.ENSP00000371858,0,0,0,0,0.671,0.172,0,0.076,0.726
HGH1,PWP1,9606.ENSP00000321320,9606.ENSP00000387365,0,0,0,0,0.813,0,0,0.136,0.831
HGS,VPS18,9606.ENSP00000331201,9606.ENSP00000220509,0,0,0,0,0.065,0,0,0.529,0.541
HGS,SNX8,9606.ENSP00000331201,9606.ENSP00000222990,0,0,0,0,0.084,0.159,0,0.353,0.458
HGS,RAB22A,9606.ENSP00000331201,9606.ENSP00000244040,0,0,0,0,0.062,0.203,0,0.36,0.48
HGS,SNX4,9606.ENSP00000331201,9606.ENSP00000251775,0,0,0,0,0.063,0.159,0,0.426,0.508
HGS,TSG101,9606.ENSP00000331201,9606.ENSP00000251968,0,0,0,0,0.079,0.992,0.9,0.994,0.999
HGS,SMAD2,9606.ENSP00000331201,9606.ENSP00000262160,0,0,0,0,0,0.27,0,0.772,0.826
HGS,STAM2,9606.ENSP00000331201,9606.ENSP00000263904,0,0,0,0.59,0.185,0.971,0.8,0.836,0.996
HGS,PTPN23,9606.ENSP00000331201,9606.ENSP00000265562,0,0,0,0,0.156,0.58,0,0.671,0.873
HGS,STX5,9606.ENSP00000331201,9606.ENSP00000294179,0,0,0,0,0.067,0.056,0,0.373,0.4
HGS,PELP1,9606.ENSP00000331201,9606.ENSP00000301396,0,0,0,0,0.063,0.27,0,0.854,0.891
HGS,SCAMP3,9606.ENSP00000331201,9606.ENSP00000307275,0,0,0,0,0,0.27,0,0.328,0.488
HGS,TNPO1,9606.ENSP00000331201,9606.ENSP00000336712,0,0,0,0,0.085,0.368,0,0.058,0.407
HGS,STX16,9606.ENSP00000331201,9606.ENSP00000360183,0,0,0,0,0.049,0.114,0,0.402,0.452
HGS,SYNRG,9606.ENSP00000331201,9606.ENSP00000483453,0,0,0,0,0.193,0.082,0,0.325,0.457
HGS,TRIM3,9606.ENSP00000331201,9606.ENSP00000433102,0,0,0,0,0.062,0.435,0,0.062,0.459
HGS,TFRC,9606.ENSP00000331201,9606.ENSP00000353224,0,0,0,0,0.062,0.27,0,0.29,0.471
HGS,RAB4A,9606.ENSP00000331201,9606.ENSP00000355651,0,0,0,0,0,0.293,0,0.29,0.476
HGS,MON2,9606.ENSP00000331201,9606.ENSP00000377250,0,0,0,0,0.227,0,0,0.357,0.482
HGS,MRPL12,9606.ENSP00000331201,9606.ENSP00000333837,0,0.476,0,0,0.062,0,0,0,0.487
HGS,UBQLN4,9606.ENSP00000331201,9606.ENSP00000357292,0,0,0,0,0.07,0.314,0,0.284,0.504
HGS,STAMBP,9606.ENSP00000331201,9606.ENSP00000377633,0,0,0,0,0.101,0,0,0.477,0.51
HGS,PPP1R12A,9606.ENSP00000331201,9606.ENSP00000389168,0,0,0,0,0.062,0,0,0.5,0.51
HGS,SYK,9606.ENSP00000331201,9606.ENSP00000364907,0,0,0,0,0.062,0.324,0,0.305,0.521
HGS,NPLOC4,9606.ENSP00000331201,9606.ENSP00000331487,0,0,0,0,0.111,0.115,0,0.531,0.599
HGS,PIK3R4,9606.ENSP00000331201,9606.ENSP00000349205,0,0,0,0,0.063,0,0,0.593,0.602
HGS,SNX12,9606.ENSP00000331201,9606.ENSP00000481314,0,0,0,0,0.091,0.43,0,0.324,0.62
HGS,VPS45,9606.ENSP00000331201,9606.ENSP00000358126,0,0,0,0,0.062,0,0,0.68,0.687
HGS,UEVLD,9606.ENSP00000331201,9606.ENSP00000379500,0,0,0,0,0.083,0.557,0,0.298,0.69
HGS,NEDD4L,9606.ENSP00000331201,9606.ENSP00000383199,0,0,0,0,0.062,0.341,0,0.617,0.742
HGS,VPS26A,9606.ENSP00000331201,9606.ENSP00000362480,0,0,0,0,0.069,0,0,0.734,0.742
HGS,SH3KBP1,9606.ENSP00000331201,9606.ENSP00000380921,0,0,0,0,0.062,0.27,0.6,0.203,0.752
HGS,USP8,9606.ENSP00000331201,9606.ENSP00000379721,0,0,0,0,0.071,0.258,0.8,0.621,0.94
HGS,VPS28,9606.ENSP00000331201,9606.ENSP00000366565,0,0,0,0,0.055,0.213,0.9,0.814,0.984
HGS,STAM,9606.ENSP00000331201,9606.ENSP00000366746,0,0,0,0.586,0.206,0.995,0.9,0.993,0.999
HIP1,WASL,9606.ENSP00000336747,9606.ENSP00000223023,0,0,0,0,0,0.345,0,0.408,0.596
HIP1,HIP1R,9606.ENSP00000336747,9606.ENSP00000253083,0,0,0,0.94,0,0.647,0,0.421,0.655
HIP1,MYO1E,9606.ENSP00000336747,9606.ENSP00000288235,0,0,0,0,0.144,0.056,0,0.371,0.447
HIP1,PLS1,9606.ENSP00000336747,9606.ENSP00000336831,0,0,0,0,0.049,0.148,0,0.337,0.415
HIP1,SYNRG,9606.ENSP00000336747,9606.ENSP00000483453,0,0,0,0,0.064,0.279,0,0.303,0.488
HIP1,WAS,9606.ENSP00000336747,9606.ENSP00000365891,0,0,0,0,0,0.345,0,0.406,0.594
HIP1,VPS28,9606.ENSP00000336747,9606.ENSP00000366565,0,0,0,0,0,0.69,0,0.066,0.698
HIP1,HTT,9606.ENSP00000336747,9606.ENSP00000347184,0,0,0,0,0.053,0.771,0.8,0.721,0.986
HIP1R,WASL,9606.ENSP00000253083,9606.ENSP00000223023,0,0,0,0,0,0.345,0,0.69,0.788
HIP1R,STBD1,9606.ENSP00000253083,9606.ENSP00000237642,0,0,0,0,0,0,0,0.53,0.53
HIP1R,TSG101,9606.ENSP00000253083,9606.ENSP00000251968,0,0,0,0,0,0.653,0,0,0.653
HIP1R,PLS1,9606.ENSP00000253083,9606.ENSP00000336831,0,0,0,0,0.049,0.148,0,0.337,0.415
HIP1R,SYNJ1,9606.ENSP00000253083,9606.ENSP00000409667,0,0,0,0,0.106,0.056,0,0.437,0.483
HIP1R,MYO1E,9606.ENSP00000253083,9606.ENSP00000288235,0,0,0,0,0.144,0.056,0,0.418,0.488
HIP1R,SYNRG,9606.ENSP00000253083,9606.ENSP00000483453,0,0,0,0,0.088,0.279,0,0.303,0.501
HIP1R,TPD52,9606.ENSP00000253083,9606.ENSP00000429309,0,0,0,0,0,0,0.6,0,0.6
HIP1R,VAMP7,9606.ENSP00000253083,9606.ENSP00000262640,0,0,0,0,0.062,0,0.6,0.134,0.647
HIP1R,VAMP8,9606.ENSP00000253083,9606.ENSP00000263864,0,0,0,0,0.049,0.056,0.6,0.192,0.671
HIP1R,TATDN1,9606.ENSP00000253083,9606.ENSP00000276692,0,0,0,0,0,0.68,0,0,0.68
HIP1R,TFRC,9606.ENSP00000253083,9606.ENSP00000353224,0,0,0,0,0.062,0,0.6,0.23,0.686
HIP1R,IGF2R,9606.ENSP00000253083,9606.ENSP00000349437,0,0,0,0,0.062,0.056,0.6,0.268,0.706
HIP1R,WAS,9606.ENSP00000253083,9606.ENSP00000365891,0,0,0,0,0,0.345,0,0.617,0.738
HIP1R,SH3KBP1,9606.ENSP00000253083,9606.ENSP00000380921,0,0,0,0,0,0.299,0,0.7,0.781
HIP1R,VPS28,9606.ENSP00000253083,9606.ENSP00000366565,0,0,0,0,0,0.835,0,0.066,0.84
HIP1R,SNAPIN,9606.ENSP00000253083,9606.ENSP00000357674,0,0,0,0,0,0,0.9,0,0.9
HIP1R,HTT,9606.ENSP00000253083,9606.ENSP00000347184,0,0,0,0,0.062,0.213,0,0.967,0.973
HIST1H1B,LMNB1,9606.ENSP00000330074,9606.ENSP00000261366,0,0,0,0,0.063,0.082,0.9,0.138,0.916
HIST1H1B,HMGB2,9606.ENSP00000330074,9606.ENSP00000296503,0,0,0,0,0.082,0.176,0.9,0.106,0.923
HIST1H1B,NPM1,9606.ENSP00000330074,9606.ENSP00000296930,0,0,0,0,0.062,0.421,0,0.133,0.488
HIST1H1B,RBM26,9606.ENSP00000330074,9606.ENSP00000483408,0,0,0,0,0,0,0,0.476,0.476
HIST1H1B,HMGA1,9606.ENSP00000330074,9606.ENSP00000399888,0,0,0,0,0.062,0.129,0,0.415,0.48
HIST1H1B,MYBBP1A,9606.ENSP00000330074,9606.ENSP00000370968,0,0,0,0,0,0,0,0.494,0.494
HIST1H1B,PRKCD,9606.ENSP00000330074,9606.ENSP00000378217,0,0,0,0,0,0.496,0,0,0.496
HIST1H1B,PARP1,9606.ENSP00000330074,9606.ENSP00000355759,0,0,0,0,0,0.488,0,0.077,0.507
HK1,TOMM22,9606.ENSP00000402103,9606.ENSP00000216034,0,0,0,0,0,0.405,0,0.157,0.477
HK1,PYGL,9606.ENSP00000402103,9606.ENSP00000216392,0,0,0,0,0.131,0.157,0,0.445,0.558
HK1,KHK,9606.ENSP00000402103,9606.ENSP00000260599,0,0,0,0,0.064,0,0.9,0.168,0.915
HK1,SORD,9606.ENSP00000402103,9606.ENSP00000267814,0,0,0,0,0.077,0,0.9,0.335,0.933
HK1,RANBP2,9606.ENSP00000402103,9606.ENSP00000283195,0,0,0,0,0.063,0.103,0,0.446,0.494
HK1,SLCO2B1,9606.ENSP00000402103,9606.ENSP00000289575,0,0,0,0,0,0,0,0.637,0.637
HK1,HK3,9606.ENSP00000402103,9606.ENSP00000292432,0,0,0.42,0.952,0,0.684,0.8,0.706,0.937
HK1,KIF5B,9606.ENSP00000402103,9606.ENSP00000307078,0,0,0,0,0.062,0,0,0.605,0.613
HK1,PCK1,9606.ENSP00000402103,9606.ENSP00000319814,0,0,0,0,0,0,0,0.449,0.449
